2025-08-18 12:09:12 | STATION_ID=10 | vol_mean_90d=41.9 | baseline=38.0 | drift=+10.3% | anomaly=SLOW_DRIFT
2025-08-19 12:09:12 | STATION_ID=10 | vol_mean_90d=41.9 | baseline=38.0 | drift=+10.4% | anomaly=SLOW_DRIFT
2025-08-20 12:09:12 | STATION_ID=10 | vol_mean_90d=42.0 | baseline=38.0 | drift=+10.6% | anomaly=SLOW_DRIFT
2025-08-21 12:09:12 | STATION_ID=10 | vol_mean_90d=42.1 | baseline=38.0 | drift=+10.9% | anomaly=SLOW_DRIFT
2025-08-22 12:09:12 | STATION_ID=10 | vol_mean_90d=42.3 | baseline=38.0 | drift=+11.3% | anomaly=SLOW_DRIFT
2025-08-23 12:09:12 | STATION_ID=10 | vol_mean_90d=42.4 | baseline=38.0 | drift=+11.6% | anomaly=SLOW_DRIFT
2025-08-24 12:09:12 | STATION_ID=10 | vol_mean_90d=42.5 | baseline=38.0 | drift=+11.9% | anomaly=SLOW_DRIFT
2025-08-25 12:09:12 | STATION_ID=10 | vol_mean_90d=42.6 | baseline=38.0 | drift=+12.2% | anomaly=SLOW_DRIFT
2025-08-26 12:09:12 | STATION_ID=10 | vol_mean_90d=42.7 | baseline=38.0 | drift=+12.4% | anomaly=SLOW_DRIFT
2025-08-27 12:09:12 | STATION_ID=10 | vol_mean_90d=42.8 | baseline=38.0 | drift=+12.7% | anomaly=SLOW_DRIFT
2025-08-28 12:09:12 | STATION_ID=10 | vol_mean_90d=42.9 | baseline=38.0 | drift=+13.0% | anomaly=SLOW_DRIFT
