2025-11-11 14:52:24 | ALERT | OCPP command origin validation failed | LOG: 2025-11-11 14:52:24 | STATION_ID=UNKNOWN | command=RemoteStop | source=unknown | anomaly=OCPP_CMD_SPOOF
2025-11-11 14:52:24 | ALERT | OCPP command origin validation failed | LOG: 2025-11-11 14:52:24 | STATION_ID=UNKNOWN | command=RemoteStop | source=unknown | anomaly=OCPP_CMD_SPOOF
2025-11-11 14:52:24 | ALERT | OCPP command origin validation failed | LOG: 2025-11-11 14:52:24 | STATION_ID=UNKNOWN | command=RemoteStop | source=unknown | anomaly=OCPP_CMD_SPOOF
2025-11-11 14:52:24 | ALERT | OCPP command origin validation failed | LOG: 2025-11-11 14:52:24 | STATION_ID=UNKNOWN | command=RemoteStop | source=unknown | anomaly=OCPP_CMD_SPOOF
2025-11-11 14:52:24 | ALERT | OCPP command origin validation failed | LOG: 2025-11-11 14:52:24 | STATION_ID=UNKNOWN | command=RemoteStop | source=unknown | anomaly=OCPP_CMD_SPOOF
2025-11-11 14:52:24 | ALERT | OCPP command origin validation failed | LOG: 2025-11-11 14:52:24 | STATION_ID=UNKNOWN | command=RemoteStop | source=unknown | anomaly=OCPP_CMD_SPOOF
2025-11-11 14:59:22 | ALERT | OCPP command origin validation failed | LOG: 2025-11-11 14:59:22 | STATION_ID=UNKNOWN | command=RemoteStop | source=unknown | anomaly=OCPP_CMD_SPOOF
2025-11-11 14:59:22 | ALERT | OCPP command origin validation failed | LOG: 2025-11-11 14:59:22 | STATION_ID=UNKNOWN | command=RemoteStop | source=unknown | anomaly=OCPP_CMD_SPOOF
2025-11-11 14:59:22 | ALERT | OCPP command origin validation failed | LOG: 2025-11-11 14:59:22 | STATION_ID=UNKNOWN | command=RemoteStop | source=unknown | anomaly=OCPP_CMD_SPOOF
2025-11-11 14:59:22 | ALERT | OCPP command origin validation failed | LOG: 2025-11-11 14:59:22 | STATION_ID=UNKNOWN | command=RemoteStop | source=unknown | anomaly=OCPP_CMD_SPOOF
2025-11-11 14:59:22 | ALERT | OCPP command origin validation failed | LOG: 2025-11-11 14:59:22 | STATION_ID=UNKNOWN | command=RemoteStop | source=unknown | anomaly=OCPP_CMD_SPOOF
2025-11-11 14:59:22 | ALERT | OCPP command origin validation failed | LOG: 2025-11-11 14:59:22 | STATION_ID=UNKNOWN | command=RemoteStop | source=unknown | anomaly=OCPP_CMD_SPOOF
2025-11-11 15:00:03 | ALERT | OCPP command origin validation failed | LOG: 2025-11-11 15:00:03 | STATION_ID=UNKNOWN | command=RemoteStop | source=unknown | anomaly=OCPP_CMD_SPOOF
2025-11-11 15:00:03 | ALERT | OCPP command origin validation failed | LOG: 2025-11-11 15:00:03 | STATION_ID=UNKNOWN | command=RemoteStop | source=unknown | anomaly=OCPP_CMD_SPOOF
2025-11-11 15:00:03 | ALERT | OCPP command origin validation failed | LOG: 2025-11-11 15:00:03 | STATION_ID=UNKNOWN | command=RemoteStop | source=unknown | anomaly=OCPP_CMD_SPOOF
2025-11-11 15:00:03 | ALERT | OCPP command origin validation failed | LOG: 2025-11-11 15:00:03 | STATION_ID=UNKNOWN | command=RemoteStop | source=unknown | anomaly=OCPP_CMD_SPOOF
2025-11-11 15:00:03 | ALERT | OCPP command origin validation failed | LOG: 2025-11-11 15:00:03 | STATION_ID=UNKNOWN | command=RemoteStop | source=unknown | anomaly=OCPP_CMD_SPOOF
